tmdb_id,credit_id,person_id,department,job
862,52fe4284c3a36847f8024f49,7879,Directing,Director
862,52fe4284c3a36847f8024f4f,12891,Writing,Screenplay
862,52fe4284c3a36847f8024f55,7,Writing,Screenplay
862,52fe4284c3a36847f8024f5b,12892,Writing,Screenplay
862,52fe4284c3a36847f8024f61,12893,Writing,Screenplay
862,52fe4284c3a36847f8024f67,12894,Production,Producer
862,52fe4284c3a36847f8024f6d,12895,Production,Executive Producer
862,52fe4284c3a36847f8024f73,12896,Production,Producer
862,52fe4284c3a36847f8024f79,12897,Production,Executive Producer
862,52fe4284c3a36847f8024f8b,8,Editing,Editor
8844,52fe44bfc3a36847f80a7cd1,511,Production,Executive Producer
8844,52fe44bfc3a36847f80a7c89,876,Writing,Screenplay
8844,52fe44bfc3a36847f80a7cdd,1729,Sound,Original Music Composer
8844,52fe44bfc3a36847f80a7c7d,4945,Directing,Director
8844,52fe44bfc3a36847f80a7cd7,4951,Editing,Editor
8844,573523bec3a368025100062c,4952,Production,Casting
8844,5722a924c3a3682d1e000b41,8023,Visual Effects,Animation Supervisor
8844,52fe44c0c3a36847f80a7ce3,9967,Art,Production Design
8844,52fe44bfc3a36847f80a7cb9,9184,Production,Producer
8844,52fe44bfc3a36847f80a7ccb,9196,Production,Executive Producer
15602,52fe466a9251416c75077a89,26502,Directing,Director
15602,52fe466b9251416c75077aa3,16837,Writing,Characters
15602,52fe466b9251416c75077aa9,16837,Writing,Writer
15602,5675eb4b92514179dd003933,1551320,Crew,Sound Recordist
31357,52fe44779251416c91011acb,2178,Directing,Director
31357,52fe44779251416c91011ae1,5144,Writing,Screenplay
31357,52fe44779251416c91011ae7,5144,Production,Producer
31357,52fe44779251416c91011aff,21968,Production,Producer
31357,52fe44779251416c91011af9,70592,Production,Producer
31357,52fe44779251416c91011adb,111118,Writing,Screenplay
31357,52fe44779251416c91011af3,111118,Production,Executive Producer
31357,52fe44779251416c91011ad5,111118,Writing,Novel
31357,52fe44779251416c91011b05,1079697,Sound,Original Music Composer
31357,52fe44779251416c91011aed,1087695,Production,Producer
11862,52fe44959251416c75039ed7,37,Sound,Original Music Composer
11862,52fe44959251416c75039ee9,5506,Camera,Director of Photography
11862,52fe44959251416c75039ecb,17698,Writing,Screenplay
11862,52fe44959251416c75039edd,17698,Production,Producer
11862,52fe44959251416c75039ed1,26160,Writing,Screenplay
11862,52fe44959251416c75039eef,56106,Directing,Director
11862,52fe44959251416c75039ee3,68755,Editing,Editor
949,52fe4292c3a36847f802916d,638,Directing,Director
949,52fe4292c3a36847f8029173,638,Writing,Screenplay
949,52fe4292c3a36847f8029179,1254,Production,Producer
949,52fe4292c3a36847f802917f,638,Production,Producer
949,52fe4292c3a36847f8029185,5581,Sound,Original Music Composer
949,52fe4292c3a36847f802918b,11099,Camera,Director of Photography
949,52fe4292c3a36847f8029191,15840,Editing,Editor
949,52fe4292c3a36847f8029197,15841,Editing,Editor
949,52fe4292c3a36847f802919d,15842,Editing,Editor
949,52fe4292c3a36847f80291a3,1047,Editing,Editor
11860,52fe44959251416c75039da9,2226,Directing,Director
11860,52fe44959251416c75039daf,70846,Writing,Screenplay
11860,52fe44959251416c75039db5,2226,Production,Producer
11860,52fe44959251416c75039dbb,491,Sound,Original Music Composer
11860,52fe44959251416c75039dc7,10640,Editing,Editor
11860,55a3b9c2c3a3681ce30058b3,2997,Production,Producer
11860,55a3ba349251412974005664,5490,Production,Casting
11860,569cf5c89251415e7000342f,1718,Art,Production Design
11860,569cfb339251415e5e0033b3,11056,Writing,Screenplay
11860,569cf55ec3a36858e500357c,10199,Costume & Make-Up,Makeup Artist
45325,52fe46bdc3a36847f810f797,2075,Writing,Screenplay
45325,52fe46bdc3a36847f810f791,7775,Writing,Screenplay
45325,52fe46bdc3a36847f810f76d,18357,Directing,Director
45325,52fe46bdc3a36847f810f78b,72225,Writing,Novel
9091,52fe44dbc3a36847f80ae0f1,37710,Directing,Director
9091,52fe44dbc3a36847f80ae0f7,53300,Writing,Screenplay
9091,52fe44dbc3a36847f80ae103,56953,Writing,Screenplay
9091,52fe44dbc3a36847f80ae109,56032,Production,Producer
9091,52fe44dbc3a36847f80ae10f,56954,Production,Producer
9091,52fe44dbc3a36847f80ae115,53299,Production,Producer
