tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,release_year,original_language,runtime,status,budget,revenue,popularity,vote_average,vote_count,adult
27205,tt1375666,Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,2010-07-14,2010,en,148.0,Released,160000000,825532764.0,29.108149,8.1,14075.0,0
155,tt0468569,The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,2008-07-16,2008,en,152.0,Released,185000000,1004558444.0,123.167259,8.3,12269.0,0
19995,tt0499549,Avatar,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,2009-12-10,2009,en,162.0,Released,237000000,2787965087.0,185.070892,7.2,12114.0,0
24428,tt0848228,The Avengers,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,2012-04-25,2012,en,143.0,Released,220000000,1519557910.0,89.887648,7.4,12000.0,0
293660,tt1431045,Deadpool,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Witness the beginning of a happy ending,2016-02-09,2016,en,108.0,Released,58000000,783112979.0,187.860492,7.4,11444.0,0
157336,tt0816692,Interstellar,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.,2014-11-05,2014,en,169.0,Released,165000000,675120017.0,32.213481,8.1,11187.0,0
68718,tt1853728,Django Unchained,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Life, liberty and the pursuit of vengeance.",2012-12-25,2012,en,165.0,Released,100000000,425368238.0,19.785025,7.8,10297.0,0
118340,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",All heroes start somewhere.,2014-07-30,2014,en,121.0,Released,170000000,773328629.0,53.291601,7.9,10014.0,0
550,tt0137523,Fight Club,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Mischief. Mayhem. Soap.,1999-10-15,1999,en,139.0,Released,63000000,100853753.0,63.869599,8.3,9678.0,0
70160,tt1392170,The Hunger Games,The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",May The Odds Be Ever In Your Favor.,2012-03-12,2012,en,142.0,Released,75000000,691210692.0,20.031667,6.9,9634.0,0
76341,tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",What a Lovely Day.,2015-05-13,2015,en,120.0,Released,150000000,378858340.0,29.36178,7.3,9629.0,0
49026,tt1345836,The Dark Knight Rises,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,2012-07-16,2012,en,165.0,Released,250000000,1084939099.0,20.58258,7.6,9263.0,0
603,tt0133093,The Matrix,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Welcome to the Real World.,1999-03-30,1999,en,136.0,Released,63000000,463517383.0,33.366332,7.9,9079.0,0
1726,tt0371746,Iron Man,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Heroes aren't born. They're built.,2008-04-30,2008,en,126.0,Released,140000000,585174222.0,22.073099,7.4,8951.0,0
68721,tt1300854,Iron Man 3,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,2013-04-18,2013,en,130.0,Released,200000000,1215439994.0,23.721243,6.8,8951.0,0
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,2001-12-18,2001,en,178.0,Released,93000000,871368364.0,32.070725,8.0,8892.0,0
135397,tt0369610,Jurassic World,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,2015-06-09,2015,en,124.0,Released,150000000,1513528810.0,32.790475,6.5,8842.0,0
680,tt0110912,Pulp Fiction,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Just because you are a character doesn't mean you have character.,1994-09-10,1994,en,154.0,Released,8000000,213928762.0,140.950236,8.3,8670.0,0
49051,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.,2012-11-26,2012,en,169.0,Released,250000000,1021103568.0,23.253089,7.0,8427.0,0
278,tt0111161,The Shawshank Redemption,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Fear can hold you prisoner. Hope can set you free.,1994-09-23,1994,en,142.0,Released,25000000,28341469.0,51.645403,8.5,8358.0,0
122,tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,2003-12-01,2003,en,201.0,Released,94000000,1118888979.0,29.324358,8.1,8226.0,0
13,tt0109830,Forrest Gump,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","The world will never be the same, once you've seen it through the eyes of Forrest Gump.",1994-07-06,1994,en,142.0,Released,55000000,677945399.0,48.307194,8.2,8147.0,0
140607,tt2488496,Star Wars: The Force Awakens,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",Every generation has a story.,2015-12-15,2015,en,136.0,Released,245000000,2068223624.0,31.626013,7.5,7993.0,0
597,tt0120338,Titanic,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,1997-11-18,1997,en,194.0,Released,200000000,1845034188.0,26.88907,7.5,7770.0,0
37724,tt1074638,Skyfall,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,2012-10-25,2012,en,143.0,Released,200000000,1108561013.0,20.309585,6.9,7718.0,0
297761,tt1386697,Suicide Squad,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",Worst Heroes Ever,2016-08-02,2016,en,123.0,Released,175000000,745600054.0,42.965027,5.9,7717.0,0
121,tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,2002-12-18,2002,en,179.0,Released,79000000,926287400.0,29.423537,8.0,7641.0,0
272,tt0372784,Batman Begins,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",Evil fears the knight.,2005-06-10,2005,en,140.0,Released,150000000,374218673.0,28.505341,7.5,7511.0,0
271110,tt3498820,Captain America: Civil War,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,2016-04-27,2016,en,147.0,Released,250000000,1153304495.0,145.882135,7.1,7462.0,0
