person_id,name,gender,profile_path
31,Tom Hanks,2,/pQFoyx7rp09CJTAb932F2g8Nlho.jpg
12898,Tim Allen,2,/uX2xVf6pMmPepxnvFWyBtjexzgY.jpg
7167,Don Rickles,2,/h5BcaDMPRVLHLDzbQavec4xfSdt.jpg
12899,Jim Varney,2,/eIo2jVVXYgjDtaHoF19Ll9vtW7h.jpg
12900,Wallace Shawn,2,/oGE6JqPP2xH4tNORKNqxbNPYi7u.jpg
7907,John Ratzenberger,2,/yGechiKWL6TJDfVE2KPSJYqdMsY.jpg
8873,Annie Potts,1,/eryXT84RL41jHSJcMy4kS3u9y6w.jpg
1116442,John Morris,0,/vYGyvK4LzeaUCoNSHtsuqJUY15M.jpg
12901,Erik von Detten,2,/twnF1ZaJ1FUNUuo6xLXwcxjayBE.jpg
12133,Laurie Metcalf,1,/unMMIT60eoBM2sN2nyR7EZ2BvvD.jpg
8655,R. Lee Ermey,2,/r8GBqFBjypLUP9VVqDqfZ7wYbSs.jpg
12903,Sarah Freeman,1,
37221,Penn Jillette,2,/zmAaXUdx12NRsssgHbk1T31j2x9.jpg
7879,John Lasseter,2,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
12891,Joss Whedon,2,/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg
7,Andrew Stanton,2,/pvQWsu0qc8JFQhMVJkTHuexUAa1.jpg
12892,Joel Cohen,2,/dAubAiZcvKFbboWlj7oXOkZnTSu.jpg
12893,Alec Sokolow,0,/v79vlRYi94BZUQnkkyznbGUZLjT.jpg
12894,Bonnie Arnold,1,
12895,Ed Catmull,0,
12896,Ralph Guggenheim,2,
12897,Steve Jobs,2,/mOMP3SwD5qWQSR0ldCIByd3guTV.jpg
8,Lee Unkrich,2,/bdTCCXjgOV3YyaNmLGYGOxFQMOc.jpg
2157,Robin Williams,2,/sojtJyIV3lkUeThD7A2oHNm8183.jpg
8537,Jonathan Hyde,2,/7il5D76vx6QVRVlpVvBPEC40MBi.jpg
205,Kirsten Dunst,1,/wBXvh6PJd0IUVNpvatPC1kzuHtm.jpg
145151,Bradley Pierce,0,/j6iW0vVA23GQniAPSYI6mi4hiEW.jpg
5149,Bonnie Hunt,1,/7spiVQwmr8siw5QCcvvdRG3c7Lf.jpg
10739,Bebe Neuwirth,1,/xm58rpMRVDHS0IGttw1pTlqGwkN.jpg
58563,David Alan Grier,2,/5tkt3qRZTco4sz604aTIarQ0m8W.jpg
1276,Patricia Clarkson,1,/10ZSyaUqzUlKTd60HmeiGhlytZG.jpg
46530,Adam Hann-Byrd,0,/hEoqDqtMO91hYWD5iDrDesnLDlt.jpg
56523,Laura Bell Bundy,1,/8tAVDBRoZPjKfCbBDyh4iK9JNEp.jpg
51551,James Handy,2,/vm0WQmuP8jEGgFTd3VCcJe7zpUi.jpg
